FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value,inhibitory Average,inhibitory Log2 Fold Change,inhibitory P-Value,excitatory Average,excitatory Log2 Fold Change,excitatory P-Value
ENSMUSG00000036427,Gpi1,0.882912729458421,-0.08972085736083137,1,1.1314395049930819,0.2899625226670925,0.6580836195705304,0.918809474660693,-0.1359969041274803,0.5758175134234012
ENSMUSG00000031592,Pcm1,1.2065324343315271,-0.08483928601709378,1,1.4431894891347576,0.18862544312229118,0.834060151137143,1.2786168806185514,0.014044568527759593,1
ENSMUSG00000021843,Ktn1,1.8264682277696176,-0.079869163359088,1,1.8238450722271649,-0.08279838258476901,1,1.958007275993423,0.1257864183828481,0.6448086085710399
ENSMUSG00000034621,Gpatch8,2.1811278332877464,-0.07967538675460983,1,1.9099770709155788,-0.2819430428526697,0.7669581728471839,2.4038111324808966,0.35578542510332756,0.10866969635461633
ENSMUSG00000021910,Nisch,1.3643185959437254,-0.07708119150005877,1,1.58100068703622,0.1477659633047974,0.9046041329690364,1.4274975023403538,-0.0404023656253093,0.9066220490950732
ENSMUSG00000029223,Uchl1,2.182564865725016,-0.07335193840072018,1,2.256658365636445,-0.023099224640095395,1,2.125374369150456,-0.47456666361096134,0.014580393248298028
ENSMUSG00000001833,Sept7,1.7241515182360245,-0.0728968347678215,1,1.50587444373577,-0.2791007684243949,0.7716436919540685,1.37399902834103,-1.3702940550169522,8.486483995233801e-16
ENSMUSG00000022403,St13,0.681440781753228,-0.0701787975071449,1,1.0264063177035991,0.5617665162818897,0.22290677307113804,0.6700382185291254,-0.4090109475903074,0.04029510632304225
ENSMUSG00000028410,Dnaja1,1.1861265737222992,-0.06944352586926497,1,1.72598955149505,0.50860174382319,0.29185339606420385,1.179530734539603,-0.33845285041564566,0.09961533560761392
ENSMUSG00000059439,Bcas3,1.2818329340444523,-0.06690078892813317,1,1.1694811377471312,-0.20699732080446057,0.8830613309883293,1.3697084239100066,0.16725522917140107,0.5116797392554385
ENSMUSG00000024985,Tcf7l2,3.3908217389812667,-0.0666726920969345,1,1.345333968402643,-1.4492969287501385,0.0010869177622053246,3.9381882616049873,1.0065164492599243,9.657702013047285e-07
ENSMUSG00000075415,Fnbp1,1.6114881751540906,-0.06572820223861564,1,1.1448378159001684,-0.5830068925811506,0.33015090557874166,1.5358185040501378,-0.5650714571600318,0.00286362463084479
ENSMUSG00000034007,Scaper,1.1723310623245116,-0.06527395547773934,1,1.1824009375503934,-0.052857954973120125,1,1.2780302745439973,0.3429608539791266,0.12441623415526912
ENSMUSG00000030122,Ptms,0.8458372925768662,-0.05779591033250028,1,1.0154005623156352,0.22174434683616895,0.7788694386011609,0.8564448688488245,-0.17746303365234634,0.4441266259002317
ENSMUSG00000029763,Exoc4,1.8471614948662993,-0.056365653425548,1,1.6692859856918443,-0.21085126992372127,0.8764432255700441,1.9698231983522965,0.20758660452098243,0.3942646521373347
ENSMUSG00000019370,Calm3,0.7679501344768558,-0.052223880767745035,1,1.001284484752812,0.35522237757530273,0.5441204498359813,0.7280284190421769,-0.5464424991749468,0.004193793190380692
ENSMUSG00000006005,Tpr,1.1516377952278298,-0.049548704605149846,1,1.490322832861473,0.34639219921648634,0.5593102835525084,1.180921828944974,-0.05422103988224222,0.8588693542988838
ENSMUSG00000036112,Metap2,0.8955586149063932,-0.047117031828257994,1,1.088612761200787,0.2519567900904915,0.7266131903711979,0.9047141686978385,-0.1457750163861397,0.5424043062207042
ENSMUSG00000060882,Kcnd2,12.584093053169585,-0.04524519297851359,1,7.659766494471032,-0.7939611196161396,0.12745982938598258,14.381754089145923,0.9821787864211591,1.7408603273677263e-06
ENSMUSG00000037266,Rsrp1,1.910965735081068,-0.04169718707264747,1,2.019556113691394,0.04239245950991244,1,1.8911341834942683,-0.2548640907638525,0.23764752633056435
ENSMUSG00000020402,Vdac1,1.190437671034108,-0.03975442672167845,1,1.5353028766209782,0.3511774385821537,0.5511678386890767,1.209581725730326,-0.07282182881052002,0.7928282609155524
ENSMUSG00000053838,Nudcd3,1.127495650281701,-0.03861002241106584,1,1.3831363456047803,0.2748173802285726,0.6856463716167531,1.154289913160223,-0.014474215068040364,1
ENSMUSG00000040225,Prrc2c,1.1016290664108488,-0.03672456716410116,1,1.4034730675173224,0.33528009280803023,0.5790650703631858,1.1076295899728428,-0.13109170755719735,0.5915548922865266
ENSMUSG00000042750,Bex2,1.524116602968101,-0.03651181868538511,1,2.1040133235164222,0.4603966416553281,0.3678270894855809,1.449654451784936,-0.4701026318983731,0.01577455019798508
ENSMUSG00000039943,Plcb4,3.5330879502709536,-0.0353664886138485,1,1.9030386599101232,-0.9662652755845224,0.04578983163183383,4.032397197178358,1.0496926017336035,3.3121667539073204e-07
ENSMUSG00000021114,Atp6v1d,0.8421010082399654,-0.028874212237022606,1,1.2826490138016307,0.6223528324616432,0.15348203469199828,0.8210138619457635,-0.2960487575483563,0.1600726546929878
ENSMUSG00000023004,Tuba1b,0.962236919995701,-0.020818683916457366,1,1.5649705650580985,0.7343890521421417,0.06529724645198902,0.8613891200486367,-0.7342853047940527,6.118336513446677e-05
ENSMUSG00000063870,Chd4,1.2484937814997985,-0.02041265440482254,1,1.3285860797687847,0.07451545231019646,1,1.2943379234165981,0.1713138157743879,0.49958638903530295
ENSMUSG00000027680,Fxr1,1.0932942782746855,-0.019767612706521498,1,1.4400791669598982,0.4044886298167516,0.4592771780362299,1.05552221037889,-0.31868833947292885,0.12469247490466782
ENSMUSG00000028519,Dab1,1.7454195983076142,-0.019722548881257018,1,3.4292498255584354,1.038259497758573,0.0022555023228066013,1.802187942418325,0.14341689414253278,0.590079445077769
ENSMUSG00000055932,Fto,0.9780442768056663,-0.017119605331808212,1,1.0515281506543865,0.09357500459174672,0.9853326882577362,0.9829171385226646,-0.045298602938354665,0.8903141554828552
ENSMUSG00000026878,Rab14,1.0395492651208036,-0.015058070725848714,1,1.4106507340746903,0.45569735400807554,0.3730842992368742,0.973782843933181,-0.47659603251031024,0.014216397439154068
ENSMUSG00000070544,Top1,1.174342907736689,-0.010808959323485384,1,1.317819579932733,0.16578858900799395,0.8732690674431884,1.1917824214110022,0.056018874943451286,0.8848374440161267
ENSMUSG00000037286,Stag1,1.6543117417847237,-0.010595712322493012,1,1.8523164829047238,0.16262151600949637,0.8780241169091925,1.6967161702135176,0.13817049650303603,0.6066132727630618
ENSMUSG00000074505,Fat3,1.6870760813544698,-0.010208370980999693,1,1.9362951816259275,0.20109053316382275,0.8135594009367452,1.8113557573549257,0.5403563297088816,0.010529868969553605
ENSMUSG00000068036,Afdn,0.5463597326498888,-0.0030706908379358744,1,1.301310946850787,1.371731606325365,7.728179735687172e-06,0.48844173802076896,-0.6836255194735068,0.00022198059996271169
ENSMUSG00000015656,Hspa8,2.9582749753631274,-0.00017102521146927785,1,4.384597244344093,0.6094403317920756,0.165149426489816,2.5809661669962014,-0.7919304040114985,1.2182370988238977e-05
ENSMUSG00000024400,Wdr33,1.1999220851200871,-3.459947623152271e-05,1,1.22331363692739,0.029496601733853267,1,1.218598699104899,0.11532684135267957,0.6836760373020505
ENSMUSG00000030519,Apba2,1.0688647268411027,0.002697111738934957,1,0.9101281194742404,-0.24184462678283897,0.830783733614783,1.156837459541143,0.7106864345582008,0.0006100502789935865
ENSMUSG00000028809,Srrm1,1.0182811850492142,0.0042796006257184785,1,1.2577664364027554,0.32934019604918574,0.5883344245998853,0.995520789038796,-0.13744981621476374,0.5703441715277123
ENSMUSG00000027706,Sec62,1.6140748335411759,0.00751506074624908,1,2.2994851094287396,0.5552070502405294,0.22920433570632026,1.4435705087831332,-0.6442556571533822,0.0005338596696344893
ENSMUSG00000028229,Rmdn1,0.945854750210828,0.013510820169889068,1,1.163739004501237,0.33271236029397444,0.5847558023507959,0.9377819911291249,0.002450109614058296,1
ENSMUSG00000027602,Map1lc3a,0.8849245748705984,0.01547084490666828,1,1.405865623036445,0.735209588133429,0.06508043093061117,0.76062695661382,-0.8147287764002022,6.6809416584247065e-06
ENSMUSG00000022139,Mbnl2,1.9928765840054334,0.02459363456636854,1,1.4690290887412818,-0.4377855333979409,0.5288241180849381,1.9110620298555454,-0.17567344269751617,0.4483325167770186
